uniprot_accession,signal_peptide,transmembrane,topological_domain,subcellular_location_[cc]
O15126,,"TRANSMEM 156..176; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 182..202; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 219..239; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 262..282; /note=""Helical""; /evidence=""ECO:0000255""","TOPO_DOM 2..155; /note=""Cytoplasmic""; /evidence=""ECO:0000255""; TOPO_DOM 177..181; /note=""Lumenal""; /evidence=""ECO:0000255""; TOPO_DOM 203..218; /note=""Cytoplasmic""; /evidence=""ECO:0000255""; TOPO_DOM 240..261; /note=""Lumenal""; /evidence=""ECO:0000255""; TOPO_DOM 283..338; /note=""Cytoplasmic""; /evidence=""ECO:0000255""","SUBCELLULAR LOCATION: Golgi apparatus, trans-Golgi network membrane {ECO:0000269|PubMed:15840657}; Multi-pass membrane protein {ECO:0000269|PubMed:15840657}. Recycling endosome membrane {ECO:0000269|PubMed:15840657}; Multi-pass membrane protein {ECO:0000269|PubMed:15840657}."
O15173,,"TRANSMEM 42..66; /note=""Helical""; /evidence=""ECO:0000255""",,"SUBCELLULAR LOCATION: Membrane {ECO:0000305|PubMed:23793472}; Single-pass membrane protein {ECO:0000305}. Nucleus envelope {ECO:0000269|PubMed:27754849, ECO:0000269|PubMed:28111073}. Endoplasmic reticulum {ECO:0000269|PubMed:27754849}. Secreted {ECO:0000269|PubMed:37453717}."
A5D8V6,,,,SUBCELLULAR LOCATION: Late endosome membrane {ECO:0000305|PubMed:15509564}; Peripheral membrane protein {ECO:0000305|PubMed:15509564}. Note=Probably associates with membranes. Recruited to the plasma membrane by HIV-1.
O00459,,,,
O00566,,,,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:12429849, ECO:0000269|PubMed:12655004, ECO:0000269|PubMed:34516797, ECO:0000269|PubMed:9450966}. Chromosome {ECO:0000269|PubMed:9450966}. Note=Fibrillar region of the nucleolus (PubMed:9450966). After dissolution of the nucleolus in early M phase becomes associated with chromosomes through metaphase and anaphase (PubMed:9450966). In telophase localized to small cellular prenucleolar bodies that not always contain fibrillarin (PubMed:9450966). The reassociation with nucleolus is preceeded by the arrival of fibrillarin (PubMed:9450966). {ECO:0000269|PubMed:9450966}."
O00629,,,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305|PubMed:28760339, ECO:0000305|PubMed:29042532}. Nucleus {ECO:0000305|PubMed:28760339, ECO:0000305|PubMed:29042532}."
O14494,,"TRANSMEM 7..27; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 54..74; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 95..115; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 165..185; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 200..220; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 230..250; /note=""Helical""; /evidence=""ECO:0000255""","TOPO_DOM 1..6; /note=""Cytoplasmic""; /evidence=""ECO:0000250|UniProtKB:Q61469""; TOPO_DOM 28..53; /note=""Extracellular""; /evidence=""ECO:0000250|UniProtKB:Q61469""; TOPO_DOM 75..94; /note=""Cytoplasmic""; /evidence=""ECO:0000250|UniProtKB:Q61469""; TOPO_DOM 116..164; /note=""Extracellular""; /evidence=""ECO:0000250|UniProtKB:Q61469""; TOPO_DOM 186..199; /note=""Cytoplasmic""; /evidence=""ECO:0000250|UniProtKB:Q61469""; TOPO_DOM 221..229; /note=""Extracellular""; /evidence=""ECO:0000250|UniProtKB:Q61469""; TOPO_DOM 251..284; /note=""Cytoplasmic""; /evidence=""ECO:0000250|UniProtKB:Q61469""","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10962286, ECO:0000269|PubMed:9705349}; Multi-pass membrane protein {ECO:0000255}. Apical cell membrane {ECO:0000269|PubMed:14527693}; Multi-pass membrane protein {ECO:0000255}. Membrane raft {ECO:0000269|PubMed:17005594}; Multi-pass membrane protein {ECO:0000255}. Membrane, caveola {ECO:0000250|UniProtKB:Q61469}; Multi-pass membrane protein {ECO:0000255}."
O14662,,"TRANSMEM 302..322; /note=""Helical; Anchor for type IV membrane protein""; /evidence=""ECO:0000255""","TOPO_DOM 1..301; /note=""Cytoplasmic""; /evidence=""ECO:0000255""; TOPO_DOM 323..325; /note=""Vesicular""; /evidence=""ECO:0000255""",SUBCELLULAR LOCATION: Golgi apparatus membrane; Single-pass type IV membrane protein.; SUBCELLULAR LOCATION: [Isoform C]: Cytoplasm.
O14802,,,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11416169, ECO:0000269|PubMed:33335104}. Cytoplasm, cytosol {ECO:0000269|PubMed:33335104}."
O14965,,,,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:12576638, ECO:0000269|PubMed:13678582, ECO:0000269|PubMed:17229885, ECO:0000269|PubMed:17726514, ECO:0000269|PubMed:19357306, ECO:0000269|PubMed:21225229, ECO:0000269|PubMed:22014574, ECO:0000269|PubMed:23213400, ECO:0000269|PubMed:25657325, ECO:0000269|PubMed:30538148, ECO:0000269|PubMed:9153231}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000269|PubMed:12576638, ECO:0000269|PubMed:13678582, ECO:0000269|PubMed:17726514, ECO:0000269|PubMed:19351716, ECO:0000269|PubMed:25657325, ECO:0000269|PubMed:26246606, ECO:0000269|PubMed:9153231, ECO:0000269|PubMed:9606188}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole {ECO:0000250|UniProtKB:P97477}. Cell projection, neuron projection {ECO:0000250|UniProtKB:P97477}. Cell projection, cilium {ECO:0000269|PubMed:17604723}. Cytoplasm, cytoskeleton, cilium basal body {ECO:0000269|PubMed:17604723}. Basolateral cell membrane {ECO:0000250|UniProtKB:F1PNY0}. Note=Detected at the neurite hillock in developing neurons (By similarity). Localizes at the centrosome in mitotic cells from early prophase until telophase, but also localizes to the spindle pole MTs from prophase to anaphase (PubMed:17229885, PubMed:21225229, PubMed:9606188). Colocalized with SIRT2 at centrosome (PubMed:22014574). Moves to the midbody during both telophase and cytokinesis (PubMed:17726514). Associates with both the pericentriolar material (PCM) and centrioles (PubMed:22014574). The localization to the spindle poles is regulated by AAAS (PubMed:26246606). {ECO:0000250|UniProtKB:P97477, ECO:0000269|PubMed:17229885, ECO:0000269|PubMed:17726514, ECO:0000269|PubMed:21225229, ECO:0000269|PubMed:22014574, ECO:0000269|PubMed:26246606, ECO:0000269|PubMed:9606188}."
O15145,,,,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:9230079, ECO:0000269|PubMed:9359840}. Cell projection {ECO:0000269|PubMed:9230079, ECO:0000269|PubMed:9359840}. Nucleus {ECO:0000269|PubMed:29925947}."
O15164,,,,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:21164480, ECO:0000269|PubMed:25593309, ECO:0000269|PubMed:32324863}. Cytoplasm {ECO:0000269|PubMed:21164480}. Mitochondrion {ECO:0000269|PubMed:32324863}. Note=Colocalizes with sites of active transcription. Predominantly nuclear. Translocated from nucleus to mitochondria to mediate antiviral immunity (PubMed:32324863). Localizes to sites of DNA damage (PubMed:25593309). {ECO:0000269|PubMed:25593309, ECO:0000269|PubMed:32324863}."
O15212,,,,
A1L390,,,,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:27555588}. Note=Colocalizes with actin at the leading edge of polarized cells. {ECO:0000269|PubMed:27555588}."
O00311,,,,SUBCELLULAR LOCATION: Nucleus {ECO:0000305|PubMed:27401717}.
O00767,,"TRANSMEM 73..93; /note=""Helical""; /evidence=""ECO:0000269|PubMed:26098317""; TRANSMEM 98..118; /note=""Helical""; /evidence=""ECO:0000269|PubMed:26098317""; TRANSMEM 218..237; /note=""Helical""; /evidence=""ECO:0000269|PubMed:26098317""; TRANSMEM 242..263; /note=""Helical""; /evidence=""ECO:0000269|PubMed:26098317""","TOPO_DOM 1..72; /note=""Cytoplasmic""; /evidence=""ECO:0000305|PubMed:26098317""; TOPO_DOM 94..97; /note=""Lumenal""; /evidence=""ECO:0000305|PubMed:26098317""; TOPO_DOM 119..217; /note=""Cytoplasmic""; /evidence=""ECO:0000305|PubMed:26098317""; TOPO_DOM 238..241; /note=""Lumenal""; /evidence=""ECO:0000305|PubMed:26098317""; TOPO_DOM 264..359; /note=""Cytoplasmic""; /evidence=""ECO:0000305|PubMed:26098317""","SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:15907797}; Multi-pass membrane protein {ECO:0000269|PubMed:18765284, ECO:0000305}."
O14730,,,,"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:22418843, ECO:0000269|PubMed:39947182, ECO:0000269|PubMed:39947183}."
